number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0385,9954828d-47b1-42c5-af7d-55acd9edacf1,America/Chicago,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0386,e8d5e6b8-c568-4ff1-84f7-6d7579bd0cc8,America/Phoenix,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0389,64ac413e-7c2c-4918-b024-3750f8cb2136,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0391,9619cdc8-1528-4f06-9aac-aa57294dbee7,America/Chicago,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0392,e4ac406c-cf15-4353-be92-4385e622506c,America/Detroit,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0393,c4eeab73-1d5d-4f6d-bd77-9d9193b8dfeb,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0394,28a0a7a8-4d19-4320-a196-5067d98522e1,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0399,cb879e78-098a-4fea-a43c-29c3eb971fdd,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0400,0a9a0e35-7a20-438b-8684-d4e7853cb297,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0401,4c8fdaad-a635-408c-8117-7f703033b543,America/Chicago,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0402,d5707dcc-57ed-46e1-a61e-fe9ef35b3fa2,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0403,1d0dfe6c-2cdd-4521-8af0-f9ae24806525,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0404,8e58ed95-ea66-4985-98f0-77f1fe516c4e,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0406,7026b2f4-fd58-4ed3-bcc5-ea3903baf066,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0407,c09d27f2-3d97-4c61-9054-7ecec9d56512,America/Chicago,10:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0408,1f12f7fa-8bc2-48d0-b9dc-b6db9ae9294f,America/Chicago,12:00,19:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0410,fc2af4de-0075-4aaa-94d4-b53b3c67eb29,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0411,904b5680-cce2-4e25-bcd0-8d0b52c92a64,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0412,45aa55f4-11f9-4f18-8fbf-41729307d735,America/New_York,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0414,82b6c8d0-bd3a-4720-8169-325cecf3fbaf,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0415,d6dc1ca7-f13b-45fb-9a6f-f9b5168faf1d,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0417,1ec19cb3-6e72-4e1d-9af6-d992708c9008,America/Indiana/Indianapolis,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0419,f6feec05-d491-485a-b4fe-d9de52353bfb,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0423,440524c4-3226-40e9-bdec-45f5e582698a,America/Detroit,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
